               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11635,            0.039071,            0.027287,           0.0084027,             0.69541,           0.0089175,           0.0024201,             0.11846,            0.026729,            0.022354,            0.070882,           0.0032353,           0.0032353
                   1,             0.10506,            0.045368,            0.025296,           0.0094573,             0.78281,            0.014385,           0.0039146,             0.09163,            0.032481,            0.021752,            0.040752,           0.0064386,           0.0064386
                   2,            0.095112,             0.05693,            0.023612,            0.055258,             0.15549,            0.051248,            0.014131,            0.081451,             0.03514,            0.019114,             0.01049,           0.0095098,           0.0095098
                   3,            0.088088,            0.059868,            0.021569,            0.075702,               0.125,            0.062764,             0.01644,            0.077017,            0.035007,            0.018254,            0.009406,            0.009406,            0.009406
                   4,            0.087364,            0.051988,             0.02066,            0.088429,             0.23171,            0.093054,            0.026851,            0.074421,            0.034088,            0.015952,            0.009406,            0.009406,            0.009406
                   5,            0.087423,            0.056067,            0.018239,             0.12398,             0.18293,             0.12853,            0.038663,            0.073324,             0.03314,            0.014894,            0.009208,            0.009208,            0.009208
                   6,            0.087363,            0.050967,            0.017825,             0.64478,             0.12195,             0.13459,            0.042401,            0.080012,            0.029452,            0.012344,             0.00901,             0.00901,             0.00901
                   7,            0.092581,            0.047885,            0.016676,             0.46554,             0.27935,              0.3045,            0.094841,            0.074906,            0.030735,             0.01055,            0.008812,            0.008812,            0.008812
                   8,             0.08455,            0.048438,            0.013782,             0.21823,              0.7198,             0.29388,             0.11905,            0.066749,            0.032493,           0.0090249,            0.008614,            0.008614,            0.008614
                   9,            0.081183,            0.052583,            0.013719,             0.25307,             0.69904,             0.30017,             0.10891,            0.071125,            0.029998,           0.0077811,            0.008416,            0.008416,            0.008416
                  10,            0.080326,            0.049465,             0.01191,             0.47926,             0.66346,             0.61552,             0.22898,            0.061417,            0.030773,           0.0067473,            0.008218,            0.008218,            0.008218
                  11,            0.071766,            0.045122,            0.010633,             0.58077,             0.71051,             0.67991,              0.3444,            0.065213,            0.028681,           0.0057314,             0.00802,             0.00802,             0.00802
                  12,            0.076839,            0.049876,           0.0095364,             0.69553,             0.76154,             0.76561,             0.37732,            0.058224,            0.029378,           0.0052231,            0.007822,            0.007822,            0.007822
                  13,            0.071873,            0.049438,           0.0086518,             0.73204,             0.73565,             0.75675,              0.3455,            0.058916,            0.027621,            0.004615,            0.007624,            0.007624,            0.007624
